zip,primary_city,acceptable_cities,state,county,latitude,longitude
13736,Berkshire,,NY,Tioga County,42.3,-76.18
13739,Bloomville,,NY,Delaware County,42.33,-74.8
13740,Bovina Center,,NY,Delaware County,42.26,-74.78
13743,Candor,,NY,Tioga County,42.23,-76.34
13744,Castle Creek,,NY,Broome County,42.22,-75.91
13746,Chenango Forks,Chenango Fks,NY,Broome County,42.23,-75.84
13748,Conklin,,NY,Broome County,42.03,-75.8
13750,Davenport,,NY,Delaware County,42.47,-74.84
13751,Davenport Center,Davenport Ctr,NY,Delaware County,42.44,-74.91
13752,Delancey,,NY,Delaware County,42.2,-74.97
13753,Delhi,Meredith,NY,Delaware County,42.27,-74.91
13754,Deposit,,NY,Broome County,42.06,-75.42
13755,Downsville,Shinhopple,NY,Delaware County,42.08,-74.99
13756,East Branch,,NY,Delaware County,41.98,-75.11
13757,East Meredith,,NY,Delaware County,42.41,-74.88
13760,Endicott,Endwell,NY,Broome County,42.09,-76.05
13775,Franklin,,NY,Delaware County,42.34,-75.16
13776,Gilbertsville,,NY,Otsego County,42.47,-75.32
13777,Glen Aubrey,,NY,Broome County,42.25,-76
13778,Greene,,NY,Chenango County,42.32,-75.77
13780,Guilford,,NY,Chenango County,42.4,-75.49
13782,Hamden,,NY,Delaware County,42.19,-74.99
13783,Hancock,Cadosia,NY,Delaware County,41.95,-75.27
13786,Harpersfield,,NY,Delaware County,42.43,-74.68
13787,Harpursville,,NY,Broome County,42.17,-75.62
13788,Hobart,,NY,Delaware County,42.37,-74.66
13790,Johnson City,,NY,Broome County,42.11,-75.96
13795,Kirkwood,,NY,Broome County,42.03,-75.79
13796,Laurens,,NY,Otsego County,42.53,-75.08
13797,Lisle,,NY,Broome County,42.35,-76
13801,Mc Donough,,NY,Chenango County,42.49,-75.76
13802,Maine,,NY,Broome County,42.19,-76.06
13803,Marathon,,NY,Cortland County,42.44,-76.03
13804,Masonville,,NY,Delaware County,42.24,-75.37
13806,Meridale,,NY,Delaware County,42.36,-74.95
13807,Milford,,NY,Otsego County,42.59,-74.94
13808,Morris,,NY,Otsego County,42.54,-75.24
13809,Mount Upton,,NY,Chenango County,42.42,-75.38
13810,Mount Vision,,NY,Otsego County,42.57,-75.05
13811,Newark Valley,,NY,Tioga County,42.22,-76.18
13812,Nichols,,NY,Tioga County,42,-77.26
13813,Nineveh,,NY,Broome County,42.19,-75.6
13815,Norwich,,NY,Chenango County,42.53,-75.52
13820,Oneonta,,NY,Otsego County,42.45,-75.06
13825,Otego,,NY,Otsego County,42.39,-75.17
13826,Ouaquaga,Harpursville,NY,Broome County,42.12,-75.64
13827,Owego,,NY,Tioga County,42.1,-76.26
13830,Oxford,Brisben,NY,Chenango County,42.44,-75.59
13832,Plymouth,,NY,Chenango County,42.61,-75.6
13833,Port Crane,"Sanitaria Spg, Sanitaria Springs",NY,Broome County,42.16,-75.83
13834,Portlandville,,NY,Otsego County,42.53,-74.96
13835,Richford,Harford Mills,NY,Tioga County,42.35,-76.2
13838,Sidney,,NY,Delaware County,42.31,-75.39
13839,Sidney Center,,NY,Delaware County,42.29,-75.25
13841,Smithville Flats,Smithvle Flts,NY,Chenango County,42.39,-75.8
13842,South Kortright,S Kortright,NY,Delaware County,42.37,-74.72
